scheme_id,country_code,country_name,scheme_name,operator,regulator,maturity,status,launch_year,transaction_limit_usd,iso_standard,region,p2p_supported,p2b_supported,b2b_supported,avg_daily_txn_millions,uptime_pct_ytd,api_access,interop_count,last_updated,edge_case_flag,edge_case_note,data_classification,synthetic_version,do_not_use_in_prod
b5499f65-efb1-4dac-8817-8692ea2b8e9a,IN,India,UPI,NPCI,Reserve Bank of India,Pioneer,Live,2016,24000,ISO 20022,Asia-Pacific,True,True,False,202.29,99.278,Open,3,2025-05-24T19:11:55,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
01371733-6d00-4788-a6d1-1488ace271f8,BR,Brazil,Pix,BCB,Banco Central do Brasil,Pioneer,Live,2020,10000,ISO 20022,Latin America,True,True,True,125.95,99.441,Closed,8,2025-05-29T04:28:48,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
ef158d12-c4c0-4ea3-a26a-9bc9544972e7,CN,China,CIPS/IBPS,PBoC,People's Bank of China,Pioneer,Live,2010,50000,ISO 20022,Asia-Pacific,True,True,True,211.11,99.646,Open,5,2025-05-05T11:04:17,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
8ddd5fce-2c8f-45e0-b747-70076ad64948,GB,United Kingdom,Faster Payments,Pay.UK,Payment Systems Regulator,Pioneer,Live,2008,1250000,ISO 20022,Europe,True,True,True,106.69,99.511,Open,5,2025-05-29T01:26:17,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
b08d4921-1dc9-40fa-8a5f-721edab18f04,SG,Singapore,PayNow,ABS,Monetary Authority of Singapore,Pioneer,Live,2017,74000,ISO 20022,Asia-Pacific,True,True,False,387.35,99.517,Regulated,0,2025-05-23T06:59:33,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
6cfacc5e-8640-47dc-8e12-bc3d77d71f66,US,United States,FedNow,Federal Reserve,Federal Reserve System,Growing,Live,2023,500000,ISO 20022,North America,True,True,True,102.28,99.981,Closed,1,2025-05-17T07:02:48,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
0bd49124-3ce9-49ed-a5e6-1934793e0dae,EU,Eurozone,SEPA Instant,EPC,European Central Bank,Growing,Live,2017,110000,ISO 20022,Europe,True,True,True,302.95,99.969,Regulated,2,2025-05-25T01:49:13,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
f18e1e9d-8953-460f-b8da-f1b40a8f5bad,AU,Australia,NPP,NPPA,Reserve Bank of Australia,Growing,Live,2018,1000000,ISO 20022,Asia-Pacific,True,True,True,396.02,99.63,Open,8,2025-05-10T18:57:53,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
9de7c3d9-1c34-456b-9be3-cb20bf005a34,MX,Mexico,SPEI,Banxico,Banco de Mexico,Growing,Live,2004,5000,ISO 20022,Latin America,True,True,True,12.14,99.522,Regulated,1,2025-05-02T10:19:55,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
c41f13ca-c5ab-4c40-adec-904d2446a3d3,TH,Thailand,PromptPay,NITMX,Bank of Thailand,Growing,Live,2017,15000,ISO 20022,Asia-Pacific,True,True,False,71.88,99.649,Regulated,5,2025-05-27T07:34:48,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
55ecffd6-b6e4-4733-9557-5626495cbde9,MY,Malaysia,DuitNow,PayNet,Bank Negara Malaysia,Growing,Live,2018,22000,ISO 20022,Asia-Pacific,True,True,False,450.04,99.967,Closed,3,2025-05-17T15:25:35,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
931a44e3-9623-476d-b228-f2ff55f53749,PH,Philippines,InstaPay,BancNet,Bangko Sentral ng Pilipinas,Growing,Live,2018,900,ISO 8583,Asia-Pacific,True,True,False,412.65,99.212,Closed,7,2025-05-02T22:51:13,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
ae4ad69b-50c9-4503-bfa2-b750066c2b2f,ZA,South Africa,PayShap,BankservAfrica,South African Reserve Bank,Growing,Live,2023,550,ISO 20022,Africa,True,False,False,432.03,99.634,Closed,2,2025-05-12T10:52:54,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
14e94a3d-8c6f-4976-9b5a-081c6632dc0b,ID,Indonesia,BI-FAST,Bank Indonesia,Bank Indonesia,Growing,Live,2021,6500,ISO 20022,Asia-Pacific,True,True,False,59.8,99.363,Open,6,2025-05-27T17:03:25,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
eb8e7de9-7597-48a9-b817-ae4796a21774,CA,Canada,RTR,Payments Canada,Bank of Canada,Emerging,In Development,,3700,ISO 20022,North America,True,False,False,0,,Regulated,7,2025-05-06T16:05:44,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
c84cf0c6-1cf6-48f1-bd2f-ce52e160e712,NG,Nigeria,NIP,NIBSS,Central Bank of Nigeria,Emerging,Live,2011,1200,ISO 8583,Africa,True,True,False,59.05,99.832,Open,1,2025-05-15T14:59:23,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
caa54bdb-4925-42d4-a144-3ddadd46e168,KE,Kenya,M-PESA,Safaricom,Central Bank of Kenya,Emerging,Live,2007,1500,Proprietary,Africa,True,True,False,416.36,99.4,Regulated,6,2025-05-21T11:35:34,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
72959b9c-47d2-49f5-b25a-b01dfdb7f067,JP,Japan,Zengin,JBA,Bank of Japan,Emerging,Live,2018,66000,ISO 20022,Asia-Pacific,True,True,True,406.94,99.576,Open,0,2025-05-02T12:13:06,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
75ae7141-0a40-4f47-97dd-619004a339cc,KR,South Korea,Oasis,FTCI,Bank of Korea,Emerging,Live,2014,30000,ISO 20022,Asia-Pacific,True,True,False,199.59,99.495,Regulated,3,2025-05-11T00:40:54,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
85ead9ae-ce8e-4295-b0bb-35788558b5c2,SA,Saudi Arabia,SARIE,Saudi Payments,Saudi Central Bank,Emerging,Live,2021,13000,ISO 20022,Middle East,True,True,True,437.18,99.741,Open,3,2025-05-19T14:31:12,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
a3352fc3-9ff2-47bf-950d-84c6add1ddc2,AE,UAE,Aani,Al Etihad Payments,Central Bank of UAE,Emerging,Live,2023,27000,ISO 20022,Middle East,True,True,False,479.57,99.885,Regulated,4,2025-05-29T07:41:02,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
d8ef4a55-c13e-4e87-b9d1-7c63083f4182,PK,Pakistan,Raast,SBP,State Bank of Pakistan,Emerging,Live,2021,3600,ISO 20022,Asia-Pacific,True,True,False,342.56,99.385,Regulated,8,2025-05-27T15:32:04,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
917f00e7-5c13-4b7f-a5b3-d79c130b0ad5,GH,Ghana,GhIPSS,GhIPSS,Bank of Ghana,Emerging,Live,2016,800,ISO 8583,Africa,True,True,False,145.8,99.962,Closed,2,2025-05-22T11:16:17,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
